"","TCGA.A2.A0D0.01A","TCGA.A7.A0CE.01A","TCGA.A8.A07O.01A","TCGA.A8.A08H.01A","TCGA.AN.A0AL.01A","TCGA.AN.A0AR.01A","TCGA.AN.A0FJ.01A","TCGA.A2.A04P.01A","TCGA.A2.A04Q.01A","TCGA.A2.A04T.01A","TCGA.A2.A0CM.01A","TCGA.A2.A0D2.01A","TCGA.A8.A07C.01A","TCGA.A8.A07R.01A","TCGA.A8.A07U.01A","TCGA.A8.A08R.01A","TCGA.AN.A04D.01A","TCGA.AN.A0AT.01A","TCGA.AN.A0FL.01A","TCGA.AN.A0FX.01A","TCGA.AN.A0G0.01A","TCGA.AO.A0J4.01A","TCGA.AO.A0J6.01A","TCGA.AQ.A04J.01A","TCGA.B6.A0I2.01A","TCGA.B6.A0I6.01A","TCGA.B6.A0IJ.01A","TCGA.B6.A0IQ.01A","TCGA.BH.A0E6.01A","TCGA.BH.A0HL.01A","TCGA.A2.A04U.01A","TCGA.A7.A0DA.01A","TCGA.AO.A12F.01A","TCGA.AR.A0TS.01A","TCGA.AR.A0U1.01A","TCGA.BH.A0AV.01A","TCGA.BH.A0BG.01A","TCGA.BH.A0BL.01A","TCGA.BH.A0BL.11A","TCGA.BH.A0BW.01A","TCGA.BH.A0BW.11A","TCGA.BH.A0DL.01A","TCGA.BH.A0DL.11A","TCGA.C8.A12K.01A","TCGA.C8.A12V.01A","TCGA.C8.A131.01A","TCGA.C8.A134.01A","TCGA.D8.A142.01A","TCGA.D8.A143.01A","TCGA.D8.A147.01A","TCGA.E2.A14R.01A","TCGA.E2.A14X.01A","TCGA.E2.A159.01A","TCGA.AR.A1AH.01A","TCGA.BH.A18G.01A","TCGA.BH.A18K.01A","TCGA.BH.A18K.11A","TCGA.BH.A18Q.01A","TCGA.BH.A18Q.11A","TCGA.BH.A18V.01A","TCGA.BH.A18V.11A","TCGA.E2.A14Y.01A","TCGA.E2.A14Y.11A","TCGA.E2.A150.01A","TCGA.E2.A158.01A","TCGA.E2.A158.11A","TCGA.BH.A0B3.01A","TCGA.BH.A0B9.01A","TCGA.AO.A0JL.01A","TCGA.BH.A0E0.01A","TCGA.B6.A0RE.01A","TCGA.A2.A0SX.01A","TCGA.A2.A0ST.01A","TCGA.A2.A0T2.01A","TCGA.B6.A0RU.01A","TCGA.B6.A0RT.01A","TCGA.A1.A0SK.01A","TCGA.BH.A0HN.01A","TCGA.AR.A0TP.01A","TCGA.BH.A0RX.01A","TCGA.A1.A0SO.01A","TCGA.A2.A0T0.01A","TCGA.AO.A124.01A","TCGA.AO.A128.01A","TCGA.AO.A129.01A","TCGA.A7.A0CE.11A","TCGA.BH.A0B3.11B","TCGA.BH.A0E0.11A","TCGA.AR.A0U4.01A","TCGA.A2.A0YJ.01A","TCGA.B6.A0X1.01A","TCGA.A2.A0YM.01A","TCGA.BH.A0WA.01A","TCGA.AR.A0U0.01A","TCGA.A2.A0YE.01A","TCGA.AN.A0XU.01A","TCGA.AR.A0TU.01A","TCGA.B6.A0WX.01A","TCGA.E2.A1B5.11A","TCGA.AR.A1AQ.01A","TCGA.A7.A13E.01A","TCGA.A7.A13E.11A","TCGA.AR.A1AJ.01A","TCGA.E2.A1B5.01A","TCGA.A7.A13D.01A","TCGA.E2.A1AZ.01A","TCGA.AR.A1AI.01A","TCGA.AR.A1AY.01A","TCGA.BH.A1F0.11B","TCGA.AR.A1AR.01A","TCGA.E2.A14N.01A","TCGA.BH.A1F0.01A"
"cg07237830",0.615941625,0.689720028,0.465857438,0.634248614,0.402273357,0.535028338,0.165817327,0.334964535,0.719161276,0.621233859,0.665499475,0.462124906,0.747309495,0.506323555,0.726886691,0.636973415,0.48232954,0.735432607,0.324609609,0.741580684,0.48266849,0.554356896,0.539877606,0.564254427,0.625547046,0.698749761,0.745179147,0.63986189,0.656978284,0.134726303,0.576537483,0.638725129,0.848672566,0.699154497,0.703805279,0.706036745,0.676229508,0.574371069,0.438176638,0.770094297,0.715517241,0.435746662,0.646802659,0.571249144,0.768088347,0.673258994,0.653249476,0.513135104,0.732572115,0.50130039,0.348996155,0.615631907,0.549819446,0.668298414,0.530980677,0.235373235,0.493408663,0.570218351,0.516591422,0.42222984,0.50740509,0.466621176,0.566004369,0.545406603,0.785266592,0.694401151,0.670844620366816,0.71121012600681,0.796340553217503,0.549139999885724,0.457743956792363,0.524767259861099,0.841284075174639,0.657613628508182,0.598933571593657,0.854740020783361,0.622337741091413,0.188121018281363,0.877298010304086,0.744404564695771,0.886048258809991,0.648956271649199,0.833317840129474,0.872045608771187,0.713918789359921,0.690326485570275,0.645751893601774,0.613878262343956,0.872130496915934,0.49805304118294,0.78686041988846,0.607545607310533,0.639122012343857,0.706283574962869,0.901952537903104,0.743903966448606,0.700457418277283,0.790818930529716,0.66476892472482,0.590571499604914,0.769562036265698,0.835817518085232,0.81567106517915,0.695391917821566,0.575446269168196,0.665148442343931,0.5797725075615,0.640258523116494,0.745218675883909,0.54732736179714,0.720301515906737,0.830242636349042
"cg07237939",0.458848037,0.091220496,0.096778881,0.25308255,0.044388447,0.048188422,0.064368482,0.111198836,0.410863366,0.109157846,0.055741925,0.173533181,0.146673142,0.124019957,0.427870658,0.151100329,0.079496929,0.117730543,0.016837396,0.09397782,0.089671526,0.109629329,0.070771408,0.117628721,0.128108515,0.067562453,0.185321464,0.101690013,0.206731735,0.786189867,0.018884892,0.020892529,0.013950228,0.098679099,0.078476392,0.024736295,0.042002012,0.080549255,0.021031456,0.194016319,0.106705309,0.045469121,0.022517657,0.088953797,0.070424864,0.479685378,0.0621435,0.108956657,0.026763602,0.033161385,0.062006996,0.063471248,0.056079587,0.075614171,0.01510869,0.313036733,0.046616909,0.033126294,0.048800909,0.037462322,0.03106786,0.542104936,0.033820459,0.045819713,0.019503988,0.016907539,0.0384802411981275,0.0287728966879056,0.0136614753347774,0.0152961529250586,0.399732643981576,0.0334141302840727,0.125143013886444,0.0418603534041337,0.0269736040458003,0.0429840349852248,0.0169138871872322,0.671581783344612,0.0249581585548449,0.112389140306892,0.0267286676815535,0.0180955669812832,0.0168798834016086,0.0227239317508393,0.0671622273667502,0.0352448432114049,0.027154012582421,0.0174618483281407,0.018286348584359,0.018978065063653,0.0170413441001726,0.0159729089825527,0.0138460741285507,0.381991666699687,0.0149863175705696,0.0147380724963197,0.0166943825769108,0.0167264094137149,0.0158180988337135,0.0253750926974006,0.0180879431235321,0.0163126958794864,0.0274142127839898,0.350102797272464,0.121111886070999,0.36640782312479,0.0487109668940895,0.0181283712230196,0.0322711165418077,0.0225297028342818,0.0248828660552265,0.0938265790643517
"cg07363637",0.823630347,0.857468053,0.728798411,0.642906384,0.679277557,0.873975348,0.330462641,0.598220133,0.804316547,0.822248026,0.841360842,0.824573758,0.48717462,0.783923877,0.784952868,0.850092582,0.850010686,0.765993924,0.280102551,0.811129508,0.534878826,0.724711793,0.867979883,0.700030529,0.697267606,0.795400014,0.859233339,0.867863568,0.830760965,0.217250299,0.455958064,0.827549541,0.874408775,0.826504578,0.556599311,0.815973761,0.805595855,0.795274217,0.606734071,0.85397594,0.712772307,0.545498238,0.719571348,0.822966071,0.813330688,0.508784773,0.918220947,0.865893167,0.807007786,0.239820324,0.892878942,0.809328458,0.404102921,0.824520356,0.803280749,0.264392769,0.678033835,0.840881535,0.588212258,0.341584388,0.628820491,0.654409652,0.657496642,0.740253381,0.122451607,0.559694047,0.844033838390646,0.576804311424714,0.830702735279599,0.837332104383597,0.872152330175261,0.586157960375794,0.831551903675548,0.860476885450996,0.73551314822922,0.869486488042759,0.192971889485633,0.292903729323241,0.863558963718423,0.810125797851432,0.874784963577003,0.727254918929453,0.515649823080861,0.839041530327622,0.706042716904625,0.715916660605916,0.710799457937393,0.777388669816108,0.80269910617984,0.507099412463112,0.811930704211055,0.861407997997428,0.784618031142266,0.722621466034938,0.839329595027368,0.843444810558489,0.877171143200405,0.814414651738134,0.678554518877273,0.821072853480322,0.706294357303801,0.734872295832793,0.795857845124861,0.699520724719505,0.884481341244245,0.807331776212323,0.835922767162398,0.844715111017367,0.623623747784614,0.794309018741867,0.859239690986645,0.815314348861295
"cg07423149",0.220268632,0.17314268,0.304791127,0.419940709,0.274554899,0.254464024,0.238795173,0.282967138,0.529764989,0.300407437,0.353242895,0.437921294,0.255834386,0.173365042,0.526281614,0.292843719,0.127282925,0.316442868,0.126157407,0.325596737,0.257047232,0.393424697,0.366942092,0.461330762,0.375987227,0.300293645,0.372508201,0.322523187,0.34146157,0.583586993,0.125811179,0.2150338,0.077786561,0.619626798,0.331912735,0.330822794,0.252664938,0.398044112,0.451883326,0.349264024,0.637590408,0.25684629,0.342025955,0.355976593,0.575616027,0.375705501,0.937122128,0.353043293,0.202127212,0.354301391,0.159987638,0.330320282,0.433519202,0.125085663,0.179122722,0.700286895,0.391076009,0.247550497,0.352676123,0.353133026,0.413869128,0.212865674,0.332149975,0.283182341,0.123772313,0.485616651,0.448550870771136,0.427080703294903,0.110713708219184,0.352461096677338,0.253841085374452,0.329035948055626,0.590012332841668,0.362095453960447,0.26502192910443,0.655667527595178,0.182414469088605,0.496907343839416,0.111420252239269,0.516880029755417,0.625994524994809,0.323464004202419,0.200349543000983,0.537387155568644,0.384628425158175,0.448512728119909,0.493656085336722,0.565981274153798,0.269520392843177,0.156361275371667,0.343623924088506,0.254315748648782,0.357136511063003,0.397104660497015,0.227382448165923,0.280282552253223,0.356092188511321,0.311076584782554,0.376516172904742,0.390212872223201,0.132197709150019,0.462549703596188,0.490778086751675,0.71691446953168,0.414818653536038,0.365165780621198,0.391912034505151,0.181885409439037,0.456520613936182,0.31609976046836,0.415982479977546,0.516019510236538
"cg07440877",0.76244523,0.848292523,0.571514665,0.825702929,0.685563212,0.291271128,0.331025049,0.354251961,0.695130801,0.49297951,0.444131586,0.799829484,0.383990579,0.670188921,0.623076641,0.609535404,0.199071502,0.758017712,0.577449214,0.445339561,0.622660922,0.743692011,0.818713973,0.561048378,0.471391547,0.46236319,0.578377991,0.542692888,0.799892125,0.917575381,0.414054218,0.264609108,0.260743647,0.764493645,0.672662653,0.654214123,0.68124383,0.793461604,0.715462031,0.799652433,0.77287706,0.70775,0.790901836,0.800180143,0.834906084,0.474303039,0.093320236,0.41345116,0.520167314,0.624097611,0.212491027,0.356838308,0.546366341,0.525765607,0.908989737,0.846252637,0.791381621,0.281615988,0.8298585,0.458903008,0.658284361,0.530795769,0.762941824,0.373815433,0.130747452,0.827981232,0.609342302187836,0.534606367550092,0.448766770906084,0.602839492244852,0.651621390438362,0.576971133134355,0.787051969942952,0.487916971058601,0.623623450962996,0.792622333023816,0.870569814344058,0.943933335353228,0.853963717506831,0.796948371430915,0.802339140303016,0.535433960201506,0.447483028543681,0.863991601310177,0.769377757419538,0.854204503967575,0.877248642159229,0.887747062166035,0.867985450927679,0.525468995358596,0.589944228093619,0.601579530252896,0.662678014704978,0.553189443369046,0.510107723457594,0.623729561716707,0.810185086612743,0.392848139185061,0.681855294165939,0.508858434518401,0.314141090977985,0.855698520942951,0.706530629370772,0.797674681140739,0.93084615901329,0.49478511824442,0.545958502161967,0.429830675406965,0.820943784828948,0.571170456001711,0.635253892064164,0.759185340877354
"cg07456201",0.364899282,0.569832402,0.445699228,0.737580059,0.377514467,0.250222143,0.308344321,0.621940685,0.646678854,0.689479925,0.486866017,0.493588703,0.520425294,0.708091757,0.570203464,0.42796541,0.235676415,0.50473251,0.333065811,0.677315806,0.349480462,0.519120801,0.745777269,0.495262705,0.389163299,0.466514867,0.516944495,0.358383328,0.661627473,0.845711154,0.617647059,0.443097643,0.296084829,0.536759458,0.479790188,0.769230769,0.362708221,0.686095932,0.740248963,0.665294925,0.712638376,0.534233365,0.749365482,0.466927083,0.708102667,0.458823529,0.546162403,0.370488808,0.794954375,0.572663001,0.226971704,0.377068558,0.690792975,0.303928571,0.504640371,0.706376812,0.723026149,0.212598425,0.719323671,0.413089005,0.682077264,0.547373148,0.787610619,0.404010397,0.162367223,0.76839533,0.743427476908534,0.856544786956304,0.223212450446782,0.570534149237223,0.740623156295873,0.817729277775757,0.839095563939996,0.909749529148778,0.612514567197488,0.927532397374922,0.443072687493314,0.953629141088122,0.807843924127258,0.82957613466889,0.925459642700109,0.533865530867274,0.113014923249022,0.935284834206706,0.713711507565613,0.919227707961614,0.92899486959754,0.932560050209755,0.919846913278606,0.415388032563815,0.773220134222138,0.532646056349167,0.380691752876923,0.589114173749849,0.182910287124853,0.859835050622939,0.90564884451803,0.673921931345003,0.87802875798272,0.862037371168121,0.275563704152658,0.905946479732169,0.893213598249411,0.940691658180618,0.740160067181186,0.575979630005965,0.421591788014677,0.936273410087217,0.930124676569804,0.718654363084185,0.753368074694517,0.76423935492482
"cg07498879",0.455416214,0.697722012,0.368010134,0.469483131,0.297945743,0.441441105,0.343046665,0.541533292,0.346737249,0.486032639,0.57922817,0.414331386,0.515487664,0.582244009,0.349781971,0.703283934,0.799023618,0.435364557,0.274061563,0.779908966,0.345058495,0.467881505,0.578103239,0.46961417,0.251952036,0.419072575,0.424699425,0.325089579,0.593789407,0.878941571,0.360155725,0.807781527,0.440103885,0.450491898,0.60679734,0.791279661,0.34526366,0.317080226,0.659403244,0.333139339,0.466826171,0.223560821,0.629936672,0.332730371,0.422256048,0.256649167,0.949217881,0.37964661,0.718960852,0.23740856,0.421463278,0.58654504,0.533072053,0.335495743,0.807425177,0.637690113,0.671337506,0.245834904,0.690907009,0.331748471,0.571361713,0.2339183,0.551232666,0.386277303,0.180766212,0.644901857,0.489589708668567,0.132870500457033,0.796588732119166,0.21595527184178,0.584883578538288,0.221655728728102,0.241184427035841,0.496011978732168,0.622775940698618,0.370141949673315,0.174253937091738,0.634736493752696,0.832632453829472,0.471888087055949,0.750943393457638,0.519296659262716,0.453437139167717,0.176244898747431,0.296606683541044,0.601127682299182,0.642122789758979,0.693490603948695,0.180059809459798,0.666097597148931,0.281263538026186,0.697765384865433,0.515252005659316,0.481356085349292,0.268500321550138,0.468944936495183,0.319666077166355,0.59702227102464,0.503069827305956,0.180303120857646,0.792941331632653,0.537863870771608,0.206749589325055,0.416912385317078,0.555628684356205,0.224629716493643,0.153280669088406,0.228158948809519,0.583713672441553,0.230665817756042,0.45563852841127,0.423523861718713
"cg07572435",0.405521746,0.430243652,0.355675083,0.796493809,0.428045452,0.464882097,0.341722723,0.487871355,0.638138788,0.58870334,0.480446194,0.509723697,0.49517498,0.307089766,0.508691235,0.450310644,0.660285061,0.519635616,0.285584966,0.54191558,0.55859912,0.513312427,0.723404255,0.551554425,0.450802151,0.432359161,0.669362701,0.479434859,0.539788497,0.922337183,0.690310431,0.426231777,0.428305962,0.673173024,0.63672898,0.416662647,0.452139525,0.460388036,0.637030891,0.57086819,0.698491945,0.394540491,0.712559479,0.475669999,0.846322653,0.557000515,0.521848547,0.37434656,0.746018027,0.343084182,0.262265077,0.344296539,0.538628622,0.427158891,0.909773558,0.860846269,0.644873639,0.330763524,0.625823015,0.492372207,0.625388584,0.280716244,0.569735844,0.446808511,0.173179101,0.705681818,0.560055169207595,0.660304460237539,0.896740564569054,0.641970952645012,0.573385997595418,0.55536862644062,0.839639952939973,0.63203615681823,0.689992836508804,0.789733891293208,0.404153552337522,0.84712393273017,0.899303794392324,0.875576404753843,0.724287177812224,0.70300459538803,0.511059123772683,0.901824618274452,0.624207406928536,0.840395853238161,0.878116700797868,0.846987947007715,0.68945211833174,0.533290437715085,0.48805822418209,0.464629473406121,0.501436993500055,0.542811019715709,0.594160866294837,0.83914239430006,0.888719990756164,0.830046297090567,0.717109320042132,0.567683748221554,0.45580439593506,0.83718668171487,0.664076824081391,0.87840105138509,0.795932904307752,0.507950461665767,0.650674383293981,0.750848159785838,0.737520250604805,0.576654355078321,0.747044445537865,0.771821313260946
"cg07657236",0.086342481,0.070933333,0.084326336,0.192642982,0.072226879,0.071367223,0.070669338,0.103648156,0.220037842,0.085832472,0.099905181,0.138957374,0.094825537,0.07484819,0.244629845,0.10900533,0.094612139,0.155463618,0.566598982,0.118860856,0.085163966,0.085449376,0.43602004,0.106691079,0.124288301,0.087174349,0.137924118,0.129720587,0.136793597,0.777983989,0.183579959,0.248872779,0.164279996,0.218121241,0.234085193,0.185171103,0.196285352,0.187077504,0.14543803,0.222906213,0.215672835,0.199050985,0.269018092,0.264620074,0.257887654,0.49549122,0.041896807,0.221733392,0.273936306,0.212987887,0.268735632,0.495799036,0.269879998,0.162333566,0.301973719,0.332783724,0.236091323,0.25452086,0.275358662,0.215661831,0.256277763,0.343225806,0.224716666,0.214557453,0.20412092,0.235975554,0.161594918727808,0.175521126024053,0.0670435274924002,0.106769184081022,0.0796977218938052,0.133224429968333,0.175334069351573,0.142933404495366,0.0798523343024506,0.171722144787437,0.0720692566938604,0.391309376577461,0.0943743320138154,0.198598010771071,0.10214110250378,0.118029756151383,0.0484552752925944,0.116160981471096,0.100536859929475,0.0990585634234614,0.116383781278572,0.0708296536198035,0.0982697784830473,0.0740732152407943,0.0827272807376884,0.0930386411524567,0.0825344054117964,0.121781662656034,0.0599344887282675,0.0894139053601477,0.103627855552313,0.138864184979116,0.118968152754848,0.133322550502731,0.326109946349923,0.0721775137471577,0.178774858366044,0.304002820462724,0.0606260226753961,0.112940882936225,0.129813888156979,0.0829277348014369,0.123567031881995,0.103935354546578,0.142450058131859,0.176703966194985
"cg07753644",0.622736448,0.632781012,0.178541566,0.301252937,0.285475258,0.553344247,0.391799434,0.304823736,0.307958993,0.24875191,0.383688324,0.211054903,0.232253822,0.275301474,0.342085842,0.547599695,0.638808547,0.54721265,0.512020163,0.261870862,0.582221158,0.28794256,0.179552547,0.369401561,0.564866285,0.640762143,0.42373045,0.240088179,0.234401192,0.749882198,0.22273364,0.370531333,0.405079542,0.305444034,0.190278467,0.25,0.210950332,0.174724638,0.483599396,0.167115288,0.338396549,0.250645377,0.47096664,0.235815719,0.152745063,0.420696492,0.657706846,0.47955066,0.61514936,0.152707462,0.444550214,0.287893504,0.416093929,0.112676967,0.434127807,0.556810394,0.512808989,0.576797574,0.483603976,0.291701383,0.475476414,0.1657306,0.418961381,0.570796101,0.438090789,0.434953242,0.347776807644936,0.0925499020167453,0.482213117247005,0.174783497151064,0.117791798145733,0.315926396577758,0.179332300802426,0.267367792005685,0.391614872621697,0.197423820577654,0.395324471159132,0.821487111804649,0.555584641696946,0.207216650748909,0.740065479802661,0.358774361271944,0.170988011356432,0.338696391230059,0.178213848192561,0.401735243138875,0.570513661866341,0.350553341894791,0.0898200258497908,0.299321504589097,0.254930153931155,0.512094551722834,0.294900268591363,0.428805128289676,0.17906456976726,0.461952863042535,0.144194562741959,0.49354063587994,0.273347242935976,0.155016018344154,0.335122754395316,0.312361994552652,0.134668166466468,0.23891796651597,0.214742553838334,0.0933620664334364,0.131196376230547,0.197772996070136,0.428660530520674,0.281285057211567,0.250079065801148,0.219709506184663
"cg07850604",0.060177819,0.046922957,0.08606152,0.064849583,0.028514851,0.038877203,0.064095773,0.052089151,0.062345008,0.049949032,0.043788726,0.061764706,0.050522928,0.038265959,0.054543024,0.050375456,0.05922889,0.046788009,0.021799218,0.049109445,0.050745667,0.033371013,0.057966956,0.053716366,0.051804998,0.056496175,0.074180262,0.055980943,0.087717651,0.067167684,0.056518947,0.028430519,0.023042126,0.06697161,0.063462058,0.035622403,0.030007675,0.035365461,0.021347994,0.033041373,0.028908555,0.032417935,0.041568781,0.045617124,0.037928344,0.023062054,0.041014169,0.061023055,0.02789589,0.022529189,0.039570334,0.045528112,0.032249413,0.038028002,0.033688966,0.082951815,0.053738181,0.04735544,0.041049031,0.039295555,0.03557047,0.033066362,0.033552274,0.047524205,0.034634835,0.03544652,0.0628498601761034,0.0788648589156791,0.0535391356698347,0.0480002061284592,0.0610722559213483,0.0616917956280994,0.0887672676824831,0.0496952237835317,0.0503532281197369,0.0898147106765966,0.0322230679461267,0.0463080505558754,0.0547867843738567,0.101225012444573,0.037365130181519,0.046507760099441,0.0727501540470192,0.0703349371455993,0.0843285544838174,0.104028132146919,0.117580271150235,0.0703164599291843,0.0398681446843324,0.0489648030359407,0.0673754392577154,0.0662557002543445,0.0590152999584567,0.0505924880173943,0.0479364637136853,0.0704146697890327,0.0451873359400488,0.0448172257804027,0.0538529641981128,0.0690437254420909,0.0516842452023661,0.0731995809320483,0.0676769763518013,0.351640098124558,0.0647563842147356,0.0839955517745874,0.0483231065810095,0.0373033451670291,0.132414872383826,0.0788483477503874,0.0470448530364116,0.0752590216357034
"cg07899016",0.6919229,0.756624568,0.503040994,0.457923442,0.673450683,0.75010553,0.699085499,0.731176875,0.506235095,0.737247522,0.649715395,0.613789729,0.677667468,0.299479655,0.457341228,0.643907943,0.809514634,0.659792847,0.823126251,0.707283228,0.303253599,0.6246685,0.681851957,0.606187428,0.624644886,0.697659045,0.632894875,0.687261543,0.589184618,0.146334257,0.729466583,0.530293236,0.803280026,0.496625534,0.29618128,0.552404767,0.369717275,0.510044513,0.304695022,0.611986271,0.36345237,0.603544699,0.297671777,0.628785859,0.458653067,0.520782012,0.426544128,0.529796988,0.721533613,0.661408676,0.785259144,0.584447851,0.594754046,0.728250596,0.7256501,0.351409077,0.236371472,0.745278308,0.272528608,0.517876065,0.229954614,0.379787601,0.258296294,0.603289177,0.795219989,0.301867289,0.71544042828658,0.86208655591931,0.921171456547113,0.818299278895572,0.900935716995157,0.693124787231498,0.565934939382711,0.840016199904926,0.665709390143416,0.60951507224384,0.308479628986694,0.269379936504324,0.941645657388864,0.608548943702109,0.925983272756634,0.740460169895181,0.695823618339238,0.710699117962022,0.687568887742025,0.388912375910512,0.330312493465455,0.389378116063112,0.705166278248632,0.855767257562693,0.777207272504056,0.844599090461521,0.846433783108001,0.728504769455406,0.870295545681299,0.81283857889532,0.828574131841441,0.629828190736641,0.359083199184504,0.655960803499516,0.895088345469785,0.447321195139629,0.645289594303193,0.586973826196886,0.816302202129158,0.699937509829987,0.690929877452784,0.801121887844637,0.406110844215291,0.682553594965378,0.568963113077672,0.643563301955648
"cg07935264",0.148815817,0.166831753,0.171511628,0.281886505,0.125295508,0.195588423,0.151848716,0.182691336,0.197776648,0.193032553,0.247033651,0.217598909,0.160915398,0.163578341,0.203867092,0.424297924,0.176336859,0.175363673,0.102584924,0.380589431,0.408242754,0.188773549,0.177807744,0.258828045,0.175281592,0.188650741,0.191968191,0.183832504,0.223216308,0.810359888,0.083145287,0.490999723,0.135144429,0.268305719,0.203130623,0.425438596,0.144546332,0.188927545,0.191582492,0.128502627,0.169294037,0.140625,0.262159934,0.176874642,0.211523073,0.112308045,0.179556937,0.138653001,0.175633461,0.129057187,0.252966896,0.246830723,0.298954895,0.14405075,0.155399902,0.350394334,0.263426689,0.182399318,0.247309931,0.106487696,0.23800738,0.15896861,0.165656566,0.190387544,0.092091837,0.361610352,0.303183630894564,0.161129778129279,0.095586121577878,0.174995581852603,0.128587751411161,0.173024512536354,0.250968534521866,0.366465619385769,0.270022160175207,0.308516031474664,0.447679996210678,0.828428774938331,0.684723224940069,0.420726054009946,0.306199094982329,0.134074023772427,0.0633887852644954,0.341650016168646,0.284367521473005,0.437673513995168,0.579639181504628,0.344341738355829,0.0801777870274791,0.129987140634747,0.181164441856882,0.275905187569181,0.249542232448036,0.31169528056861,0.0826702849676241,0.173020378900056,0.146190573877113,0.249550758397585,0.264050865380872,0.146456330828763,0.0827800803675481,0.538188142123973,0.223085410370494,0.441134046480529,0.152425327923369,0.198933870012475,0.168055423083805,0.128221065179498,0.382816172529936,0.115768386465978,0.403599905632001,0.315209568618594
"cg07997737",0.733696421,0.493390837,0.607127705,0.550909486,0.463438586,0.386459366,0.501069724,0.444487653,0.555268097,0.593356882,0.457920941,0.363081326,0.581703133,0.504605,0.618220388,0.410211171,0.410147756,0.489801621,0.179592935,0.703504746,0.438091403,0.473181657,0.709965766,0.609062639,0.368937668,0.539267716,0.562610552,0.282473331,0.479696209,0.164454806,0.470938511,0.576786978,0.601192344,0.66791486,0.582964344,0.612429379,0.355726075,0.445010488,0.367222222,0.460766294,0.510339312,0.412644532,0.382902694,0.360760505,0.598488542,0.391926606,0.122685185,0.280639968,0.42625333,0.436166492,0.545273515,0.384200023,0.45162519,0.335333833,0.825988897,0.317271707,0.48770246,0.384862549,0.512235775,0.347226107,0.428529967,0.408848614,0.487625524,0.552354181,0.182532271,0.497393118,0.75902906238602,0.633066398101868,0.883542653068102,0.514284135231177,0.813771762307178,0.312732566169701,0.652164592637033,0.795872279985757,0.689062991763515,0.797269072723484,0.721724289572341,0.248213321452598,0.912300665577773,0.668931934941253,0.700300049840385,0.538727533808257,0.781839484725554,0.751210954198194,0.817350323816864,0.641609934403971,0.604102404208619,0.675255924824682,0.532138695344881,0.73339799548574,0.516971110643292,0.804299656289199,0.68423577080012,0.551913684670271,0.72171932777755,0.473756684834583,0.53285012853722,0.802169906260621,0.585467242739412,0.363472032203347,0.905033404119108,0.585964761611943,0.65589255568379,0.684373857102913,0.822572967432551,0.401318495411595,0.704880271121695,0.882497044150885,0.540563739181412,0.517074680193799,0.61860426210013,0.637009718613727
"cg08016363",0.242192347,0.423756019,0.256770145,0.299587148,0.219122556,0.168067227,0.156398857,0.239351677,0.157010806,0.255891595,0.24943242,0.233831654,0.240345111,0.126552534,0.163412489,0.328058169,0.262711864,0.229014463,0.151580905,0.269534957,0.214143426,0.191928251,0.321358589,0.331449126,0.263586575,0.288274045,0.293457691,0.247382404,0.250857339,0.61108587,0.116644235,0.214250371,0.187362637,0.364649682,0.32585034,0.186871674,0.11900595,0.308044474,0.166563083,0.173096976,0.226572811,0.21421371,0.173767353,0.310168043,0.195671776,0.158971668,0.59344894,0.198368558,0.437665782,0.191666667,0.183127572,0.23432745,0.299947285,0.248695652,0.29015544,0.336123201,0.193185018,0.190016103,0.216661285,0.244328747,0.135062311,0.330727316,0.172151899,0.288401254,0.158305463,0.131221719,0.131604872449082,0.234060384027767,0.269406517613546,0.190469290331179,0.22191410628671,0.106783959341842,0.146675689208451,0.187679783146923,0.168774908189221,0.236177435113898,0.160928577160286,0.745718739031647,0.310278149911257,0.225308864524418,0.172126197968988,0.175543647110229,0.191421529856472,0.256129220845324,0.226478642265529,0.236422623101956,0.273026722885625,0.251783936984732,0.17202230663537,0.121246824241683,0.208515728066448,0.0619970254845658,0.303146525398701,0.401552796231682,0.429512154431846,0.480706919694913,0.224744465347934,0.412320417280633,0.147546423961918,0.160670060353067,0.5880865919278,0.183303749693246,0.281626866322498,0.351199177464542,0.171391339726319,0.125193520278042,0.094085091023833,0.249777163857027,0.207643666050046,0.144352084271775,0.13077885176868,0.187017274184407
